nome,setor,dividendoPago
MFAI11,Híbrido,"0,98"
MFII11,Híbrido,"0,99"
MGCR11,Títulos e Val. Mob.,"0,99"
MGFF11,Títulos e Val. Mob.,"0,93"
MGHT11,Híbrido,"0,97"
MORE11,Títulos e Val. Mob.,"0,91"
MXRF11,Híbrido,"1,02"
NAVT11,Títulos e Val. Mob.,"0,85"
NCHB11,Títulos e Val. Mob.,"1,03"
NEWL11,Híbrido,"1,00"
NEWU11,Híbrido,"0,56"
NPAR11,Outros,"1,01"
NSLU11,Hospital,"1,17"
NVHO11,Hospital,"0,98"
ONEF11,Lajes Corporativas,"0,89"
ORPD11,Títulos e Val. Mob.,"0,89"
OUCY11,Híbrido,"0,90"
OUFF11,Títulos e Val. Mob.,"0,95"
OUJP11,Híbrido,"0,95"
OULG11,Logística,"0,73"
OURE11,Híbrido,"0,91"
PATC11,Lajes Corporativas,"0,78"
PATL11,Logística,"0,86"
PDDA11B,Logística,"1,15"
PEMA11,Títulos e Val. Mob.,"0,86"
PLCR11,Híbrido,"0,97"
PLOG11,Residencial,"0,91"
PLRI11,Títulos e Val. Mob.,"0,94"
PORD11,Títulos e Val. Mob.,"1,01"
PQAG11,Logística,"1,09"
PQDP11,Shoppings,"0,63"
PRSN11B,Residencial,"1,53"
PRSV11,Lajes Corporativas,"0,56"
PVBI11,Lajes Corporativas,"0,94"
QAGR11,Lajes Corporativas,"0,88"
QAMI11,Híbrido,"0,96"
QIFF11,Títulos e Val. Mob.,"1,08"
QMFF11,Títulos e Val. Mob.,"1,05"
RBBV11,Títulos e Val. Mob.,"0,99"
RBCO11,Lajes Corporativas,"0,58"
RBDS11,Residencial,"0,83"
RBED11,Outros,"0,96"
RBFF11,Títulos e Val. Mob.,"0,92"
RBGS11,Shoppings,"0,43"
RBHY11,Títulos e Val. Mob.,"1,01"
RBIV11,Títulos e Val. Mob.,"0,92"
RBLG11,Logística,"0,90"
RBRD11,Híbrido,"0,79"
RBRF11,Títulos e Val. Mob.,"0,92"
RBRL11,Logística,"0,98"
RBRM11,Híbrido,"1,16"
RBRP11,Outros,"0,94"
RBRR11,Títulos e Val. Mob.,"0,99"
RBRS11,Híbrido,"0,77"
RBRY11,Títulos e Val. Mob.,"0,99"
RBVA11,Outros,"1,00"
RBVO11,,"0,57"
RCFF11,Títulos e Val. Mob.,"1,06"
RCRB11,Lajes Corporativas,"0,78"
RCRI11B,Híbrido,"1,16"
RDES11,Híbrido,"0,92"
RDPD11,Títulos e Val. Mob.,"0,96"
RECR11,Títulos e Val. Mob.,"1,10"
RECT11,Híbrido,"0,87"
RECX11,Títulos e Val. Mob.,"1,07"
REIT11,Títulos e Val. Mob.,"0,71"
RELG11,Híbrido,"0,92"
RFOF11,Títulos e Val. Mob.,"0,92"
RNDP11,Títulos e Val. Mob.,"0,92"
RNGO11,Lajes Corporativas,"0,62"
RRCI11,Títulos e Val. Mob.,"0,88"
RVBI11,Títulos e Val. Mob.,"1,00"
RZAK11,Títulos e Val. Mob.,"1,02"
RZTR11,Híbrido,"0,98"
SADI11,Títulos e Val. Mob.,"0,84"
SAIC11B,Lajes Corporativas,"0,73"
SARE11,Híbrido,"0,93"
SCPF11,Shoppings,"0,71"
SDIL11,Logística,"0,93"
SDIP11,Lajes Corporativas,"0,93"
SEQR11,Outros,"0,75"
SHDP11B,Shoppings,"0,81"
SHPH11,Shoppings,"0,98"
SNCR11,Híbrido,"0,96"
SNFF11,Títulos e Val. Mob.,"1,04"
SOLR11,Híbrido,"1,17"
SPTW11,Lajes Corporativas,"1,17"
STRX11,Híbrido,"0,86"
TBOF11,Lajes Corporativas,"820,53"
TEPP11,Lajes Corporativas,"0,86"
TGAR11,Híbrido,"1,01"
THRA11,Lajes Corporativas,"1,22"
TORD11,Híbrido,"0,97"
TOUR11,Residencial,"0,22"
TRNT11,Lajes Corporativas,"0,63"
TRXB11,Híbrido,"1,11"
TRXF11,Híbrido,"0,97"
TRXL11,Híbrido,"1,02"
TSER11,Lajes Corporativas,"1,15"
UBSR11,Títulos e Val. Mob.,"1,07"
URPR11,Outros,"1,28"
VCJR11,Títulos e Val. Mob.,"0,99"
VCRR11,Residencial,"1,02"
VERE11,Outros,"0,82"
VGHF11,Híbrido,"1,03"
VGIP11,Títulos e Val. Mob.,"1,07"
VGIR11,Títulos e Val. Mob.,"0,96"
VIFI11,Títulos e Val. Mob.,"0,91"
VILG11,Logística,"1,01"
VINO11,Lajes Corporativas,"1,01"
VISC11,Shoppings,"0,94"
VIUR11,Outros,"0,98"
VLOL11,Lajes Corporativas,"1,05"
VOTS11,Títulos e Val. Mob.,"0,88"
VRTA11,Títulos e Val. Mob.,"1,11"
VSEC11,Títulos e Val. Mob.,"0,73"
VSHO11,Shoppings,"0,80"
VSLH11,Outros,"1,03"
VTLT11,Logística,"1,03"
VVPR11,Híbrido,"0,96"
VXXV11,Outros,"1,48"
WPLZ11,Shoppings,"0,61"
WTSP11B,Híbrido,"0,56"
XPCI11,Títulos e Val. Mob.,"1,07"
XPCM11,Lajes Corporativas,"0,59"
XPHT11,Hotel,"1,04"
XPIN11,Outros,"0,90"
XPLG11,Logística,"0,99"
XPML11,Shoppings,"0,97"
XPPR11,Outros,"0,82"
XPSF11,Títulos e Val. Mob.,"1,02"
XTED11,Lajes Corporativas,"0,50"
YCHY11,Híbrido,"9,68"
